name,rg
stcpdappsapimt*we01,rg-cpd-apps-str-*-we-01
stcpdappsdiag*we01,rg-cpd-apps-mon-*-we-01
stcpdappsint*we01,rg-cpd-apps-int-*-we-01
stcpdappsstr*we01,rg-cpd-apps-str-*-we-01
stcpdshrddiag*we01,rg-cpd-shrd-mon-*-we-01
stcpdshrd*we01,rg-cpd-shrd-*-we-01
