Name,GroupType
ms-app-devs,Security
ms-app-testers,Security
ms-data-devs,Security
ms-data-testers,Security
ms-leads,Leads,Security
ms-managers,Security
ms-architects,Security
ms-infra-devs,Security
ms-cpd-admins,Security
